block,timestamp,virtual_price,xcp_profit,price_scale,price_oracle,donation_shares,totalSupply,last_donation_release_ts,donation_protection_expiry_ts,balances_0,balances_1,D
23450884,1758934331,1005447190989441380,1005968821850818621,109043357611821738817578,109454458593002588805291,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450885,1758934343,1005447190989441380,1005968821850818621,109043357611821738817578,109454458593170099557570,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450886,1758934355,1005447190989441380,1005968821850818621,109043357611821738817578,109454458593335305152740,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450887,1758934367,1005447190989441380,1005968821850818621,109043357611821738817578,109454458593498237312446,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450888,1758934379,1005447190989441380,1005968821850818621,109043357611821738817578,109454458593658927322134,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450889,1758934391,1005447190989441380,1005968821850818621,109043357611821738817578,109454458593817406036563,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450890,1758934403,1005447190989441380,1005968821850818621,109043357611821738817578,109454458593973703885749,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450891,1758934415,1005447190989441380,1005968821850818621,109043357611821738817578,109454458594127850881578,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450892,1758934427,1005447190989441380,1005968821850818621,109043357611821738817578,109454458594279876621987,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450893,1758934439,1005447190989441380,1005968821850818621,109043357611821738817578,109454458594429810298239,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450894,1758934451,1005447190989441380,1005968821850818621,109043357611821738817578,109454458594577680699986,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450895,1758934463,1005447190989441380,1005968821850818621,109043357611821738817578,109454458594723516220118,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450896,1758934475,1005447190989441380,1005968821850818621,109043357611821738817578,109454458594867344861369,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450897,1758934487,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595009194240729,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450898,1758934499,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595149091595606,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450899,1758934511,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595287063788014,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450900,1758934523,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595423137310743,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450901,1758934535,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595557338291984,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450902,1758934547,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595689692499955,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450903,1758934559,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595820225348630,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450904,1758934571,1005447190989441380,1005968821850818621,109043357611821738817578,109454458595948961902144,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450905,1758934583,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596075926880079,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450906,1758934595,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596201144661214,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450907,1758934607,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596324639289246,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450908,1758934619,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596446434476761,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450909,1758934631,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596566553610519,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450910,1758934643,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596685019754979,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450911,1758934655,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596801855657365,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450912,1758934667,1005447190989441380,1005968821850818621,109043357611821738817578,109454458596917083751633,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450913,1758934679,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597030726163317,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450914,1758934691,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597142804713716,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450915,1758934703,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597253340922974,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450916,1758934715,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597362356016034,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450917,1758934727,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597469870925277,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450918,1758934751,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597680482485691,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450919,1758934763,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597783619577157,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450920,1758934775,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597885337373544,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450921,1758934787,1005447190989441380,1005968821850818621,109043357611821738817578,109454458597985655405897,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450922,1758934799,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598084592936932,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450923,1758934811,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598182168963904,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450924,1758934823,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598278402222788,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450925,1758934835,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598373311191807,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450926,1758934847,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598466914094958,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450927,1758934859,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598559228905092,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450928,1758934871,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598650273348103,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450929,1758934883,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598740064906012,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450930,1758934895,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598828620819830,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450931,1758934907,1005447190989441380,1005968821850818621,109043357611821738817578,109454458598915958093522,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450932,1758934919,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599002093497535,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450933,1758934931,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599087043570559,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450934,1758934943,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599170824624373,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450935,1758934955,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599253452746489,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450936,1758934967,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599334943802356,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450937,1758934979,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599415313439324,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450938,1758934991,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599494577089728,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450939,1758935003,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599572749973314,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450940,1758935015,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599649847100540,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450941,1758935027,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599725883274781,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450942,1758935039,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599800873096295,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450943,1758935051,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599874830964424,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450944,1758935063,1005447190989441380,1005968821850818621,109043357611821738817578,109454458599947771079578,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450945,1758935075,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600019707447861,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450946,1758935087,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600090653881733,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450947,1758935099,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600160624003974,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450948,1758935111,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600229631250107,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450949,1758935123,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600297688870162,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450950,1758935135,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600364809932421,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450951,1758935147,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600431007325177,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450952,1758935159,1005447190989441380,1005968821850818621,109043357611821738817578,109454458600496293758943,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
